"Year","PDO1","PDO2","PDO3","species","catch"
1963,-0.082,-0.0430000000000001,-0.460666666666667,"Coho",NA
1964,-0.00399999999999999,-0.315,-0.237333333333333,"Coho",-0.882499948777694
1965,-0.626,-0.463,-0.31,"Coho",-1.02678376083545
1966,-0.3,-0.391,-0.469333333333333,"Coho",-1.63278541288375
1967,-0.482,-0.379,-0.352666666666667,"Coho",-0.457586141722793
1968,-0.276,-0.493,-0.489333333333333,"Coho",-2.43325435120426
1969,-0.71,0.129,-0.00600000000000014,"Coho",-1.50598138274369
1970,0.968,-0.154,-0.339333333333333,"Coho",-1.51179697078138
1971,-1.276,-1.519,-0.69,"Coho",-1.07096517216666
1972,-1.762,-1.095,-1.15533333333333,"Coho",-1.85367968658432
1973,-0.428,-0.82,-1.134,"Coho",-1.26057515073983
1974,-1.212,-0.8,-0.676,"Coho",-2.54317553841153
1975,-0.388,-0.864,-0.98,"Coho",-1.72506139512096
1976,-1.34,-0.106,-0.2,"Coho",-1.55942608926875
1977,1.128,0.743,0.0486666666666665,"Coho",-0.486196526806026
1978,0.358,-0.118,0.297333333333333,"Coho",-0.404961530349495
1979,-0.594,-0.117,0.0413333333333332,"Coho",-0.560537560217171
1980,0.36,0.645,0.232,"Coho",-0.271956950406663
1981,0.93,0.543,0.482,"Coho",0.708018770128874
1982,0.156,0.325,0.526666666666667,"Coho",0.0526319399082358
1983,0.494,0.955,0.688666666666666,"Coho",0.279735331587109
1984,1.416,0.92,0.778,"Coho",0.905340802438067
1985,0.424,0.581,0.859333333333333,"Coho",0.99495910019261
1986,0.738,1.119,0.887333333333333,"Coho",-0.209016930063085
1987,1.5,1.058,0.951333333333333,"Coho",0.127526502308821
1988,0.616,-0.115,0.423333333333333,"Coho",0.254107279199677
1989,-0.846,-0.799,-0.327333333333333,"Coho",0.799390326776979
1990,-0.752,-1.189,-1.07466666666667,"Coho",0.979348211669989
1991,-1.626,-0.764,-0.76,"Coho",1.23342836486106
1992,0.098,0.204,-0.406,"Coho",1.01725012471381
1993,0.31,0.475,0.349333333333333,"Coho",1.89342515761932
1994,0.64,-0.142,0.0086666666666666,"Coho",1.174802492987
1995,-0.924,-0.155,0.11,"Coho",0.801152332768115
1996,0.614,0.455,-0.00466666666666675,"Coho",-0.169254191908508
