Year,SST1,SST2,SST3,species,catch
1963,6.121237871,6.225244324,5.997897781,Coho,NA
1964,6.329250777,5.636860949,5.798319923,Coho,-0.882499949
1965,4.944471121,5.194273604,5.572599328,Coho,-1.026783761
1966,5.444076087,5.354836975,5.218048357,Coho,-1.632785413
1967,5.265597864,5.451372963,5.448940671,Coho,-0.457586142
1968,5.637148063,5.189118252,5.214611456,Coho,-2.433254351
1969,4.741088442,5.39083882,5.472941901,Coho,-1.505981383
1970,6.040589198,5.689173546,5.373145178,Coho,-1.511796971
1971,5.337757894,4.934274256,5.303045903,Coho,-1.070965172
1972,4.530790618,4.748310283,4.94479282,Coho,-1.853679687
1973,4.965829949,4.994233951,4.83975284,Coho,-1.260575151
1974,5.022637953,5.225162943,5.138718612,Coho,-2.543175538
1975,5.427687933,5.200905891,5.141483245,Coho,-1.725061395
1976,4.974123848,5.46962217,5.455644091,Coho,-1.559426089
1977,5.965120492,5.666879335,5.43596084,Coho,-0.486196527
1978,5.368638179,5.553368017,5.690618842,Coho,-0.40496153
1979,5.738097855,5.796978448,5.654198358,Coho,-0.56053756
1980,5.85585904,5.915130234,5.856119441,Coho,-0.27195695
1981,5.974401427,5.860888378,5.859211932,Coho,0.70801877
1982,5.747375329,5.773553778,5.840502994,Coho,0.05263194
1983,5.799732227,6.031696157,5.936922547,Coho,0.279735332
1984,6.263660087,6.253619974,6.102324058,Coho,0.905340802
1985,6.243579861,5.893192603,6.016681764,Coho,0.9949591
1986,5.542805345,6.128771114,6.167040696,Coho,-0.20901693
1987,6.714736883,6.41222114,6.122415875,Coho,0.127526502
1988,6.109705396,5.757621094,6.07665969,Coho,0.254107279
1989,5.405536791,5.463681274,5.679022648,Coho,0.799390327
1990,5.521825757,5.398600946,5.400912894,Coho,0.979348212
1991,5.275376134,5.544373164,5.536857361,Coho,1.233428365
1992,5.813370193,5.686728425,5.549610995,Coho,1.017250125
1993,5.560086657,5.939950683,5.897757186,Coho,1.893425158
1994,6.319814708,5.774553834,5.703064775,Coho,1.174802493
1995,5.22929296,5.359338933,5.679497525,Coho,0.801152333
1996,5.489384906,5.464606812,5.386168861,Coho,-0.169254192
